0.974	0.026	0.97	0.03
0.374	0.626	0.37	0.63
0.978	0.022	0.974	0.026
0.378	0.622	0.374	0.626
0.972	0.028	0.968	0.032
0.372	0.628	0.368	0.632
0.972	0.028	0.968	0.032
0.372	0.628	0.368	0.632
0.972	0.028	0.973	0.027
0.372	0.628	0.373	0.627
0.967	0.033	0.97	0.03
0.367	0.633	0.37	0.63
0.965	0.035	0.965	0.035
0.365	0.635	0.365	0.635
0.958	0.042	0.958	0.042
0.358	0.642	0.358	0.642
0.954	0.046	0.954	0.046
0.354	0.646	0.354	0.646
0.93	0.07	0.94	0.06
0.33	0.67	0.34	0.66
0.878	0.122	0.892	0.108
0.278	0.722	0.292	0.708
0.81	0.19	0.838	0.162
0.21	0.79	0.238	0.762
0.711	0.289	0.762	0.238
0.111	0.889	0.162	0.838
0.715	0.285	0.74	0.26
0.115	0.885	0.14	0.86
0.722	0.278	0.73	0.27
0.122	0.878	0.13	0.87
0.772	0.228	0.742	0.258
0.172	0.828	0.142	0.858
0.785	0.215	0.75	0.25
0.185	0.815	0.15	0.85
0.805	0.195	0.756	0.244
0.205	0.795	0.156	0.844
0.814	0.186	0.776	0.224
0.214	0.786	0.176	0.824
0.806	0.194	0.769	0.231
0.206	0.794	0.169	0.831
0.81	0.19	0.776	0.224
0.21	0.79	0.176	0.824
0.809	0.191	0.775	0.225
0.209	0.791	0.175	0.825
0.801	0.199	0.772	0.228
0.201	0.799	0.172	0.828
0.794	0.206	0.772	0.228
0.194	0.806	0.172	0.828
0.79	0.21	0.772	0.228
0.19	0.81	0.172	0.828
0.796	0.204	0.772	0.228
0.196	0.804	0.172	0.828
0.796	0.204	0.772	0.228
0.196	0.804	0.172	0.828
0.796	0.204	0.767	0.233
0.196	0.804	0.167	0.833
0.776	0.224	0.76	0.24
0.176	0.824	0.16	0.84
0.768	0.232	0.746	0.254
0.168	0.832	0.146	0.854
0.74	0.26	0.733	0.267
0.14	0.86	0.133	0.867
0.704	0.296	0.718	0.282
0.104	0.896	0.118	0.882
0.69	0.31	0.711	0.289
0.09	0.91	0.111	0.889
0.685	0.315	0.711	0.289
0.085	0.915	0.111	0.889
0.711	0.289	0.73	0.27
0.111	0.889	0.13	0.87
0.723	0.277	0.744	0.256
0.123	0.877	0.144	0.856
0.744	0.256	0.762	0.238
0.144	0.856	0.162	0.838
0.761	0.239	0.784	0.216
0.161	0.839	0.184	0.816
0.775	0.225	0.8	    0.2
0.175	0.825	0.2	    0.8
0.799	0.201	0.836	0.164
0.199	0.801	0.236	0.764
0.827	0.173	0.845	0.155
0.227	0.773	0.245	0.755
0.854	0.146	0.873	0.127
0.254	0.746	0.273	0.727
0.893	0.107	0.905	0.095
0.293	0.707	0.305	0.695
0.928	0.072	0.941	0.059
0.328	0.672	0.341	0.659
0.965	0.035	0.966	0.034
0.365	0.635	0.366	0.634
0.979	0.021	0.969	0.031
0.379	0.621	0.369	0.631
0.97	0.03	0.9645	0.0355
0.37	0.63	0.3645	0.6355
0.982	0.018	0.9735	0.0265
0.382	0.618	0.3735	0.6265
